අං	a ŋ
ප්‍රදේශයේය	p r ə d eː ʃ a y eː y ə
මත්තෙගොඩ	m a t t e g o ɖ ə
දුරැලා	d u r æ l aː
බ්‍රහ්මායු	b r a h m aː y u
රැදවියන්	r æ d ə w i y a n
පිරිහීමක්	p i r i h iː m a k
මහධන	m a h a d a n ə
සිඟමනට	s i ᵑg ə m ə n ə ʈ ə
සේවනයෙන්	s eː w ə n ə y e n
ආපාගත	aː p aː g a t ə
නිමිතිලක්ෂණය	n i m i t i l a k ʃ ə n ə y ə
අෂ්ටමාර්ගාඞ්ගයෝ	a ʃ ʈ ə m aː r g aː ŋ g ə y oː
ආචයගාමී	aː c a y ə g aː m iː
ආශ්වාසප්‍රශ්වාසයන්ගේ	aː ʃ w aː s ə p r a ʃ w aː s ə y a n g eː
භඞ්‍ගක්‍ෂණයෙහි	b a ŋ g a k ʃ ə n ə y e h i
ආසෙවනස්වභාවයෙන්	aː s e w ə n ə s w a b aː w ə y e n
සතරෙකි	s a t ə r e k i
ආසනයෙහි	aː s ə n ə y e h i
වෘක්ෂයන්	w r i k ʃ ə y a n
ශාල	ʃ aː l ə
සැතපුණු	s æ t ə p u n u
යෝධයෙක්	y oː d ə y e k
ගුණයෝ	g u n ə y oː
දීර්ඝමාර්ගයට	d iː r g ə m aː r g ə y ə ʈ ə
පිළිපන්සේක්	p i l i p a n s eː k
රජගහනුවරටත්	r a ɟ ə g a h a n u w ə r ə ʈ a t
ආතතිමය	aː t ə t i m ə y ə
කීර්තිසේන	k iː r t i s eː n ə
පෙම්වතියත්	p e m w ə t i y a t
ව්‍යාපෘතීන්	w y aː p r u t iː n
සටනත්	s a ʈ ə n a t
බූඩි	b uː ɖ i
ඇල්ටෝ	æ l ʈ oː
ලීසින්	l iː s i n
විනිමයක්	w i n i m ə y a k
සංස්කාරස්කන්ධය	s a ŋ s k aː r a s k a n d ə y ə
සප්තප්‍රකාරයෙකින්	s a p t ə p r a k aː r ə y e k i n
බොජ්ඣංග	b o ɟː a ŋ g ə
අගබිසොව	a g ə b i s o w ə
දොඩම්පෙගෙයි	d o ɖ a m p e g e y i
බිසවයි	b i s ə w a y i
මල්වතී	m a l w ə t iː
රාජසිංහයන්ගේ	r aː ɟ ə s i ŋ h ə y a n g eː
රූමත්ය	r uː m a t y ə
බඳගිරිය	b a ⁿd ə g i r i y ə
කැ‍බිනට්	k æ b i n ə ʈ
කොට්න්	k o ʈ n
පැළැන්තියට	p æ l æ n t i y ə ʈ ə
බෙයාර්	b e y aː r
මොඩන්	m o ɖ ə n
වෙයාර්	w e y aː r
ෆූට්	f uː ʈ
කර්මාන්තයන්හි	k a r m aː n t ə y a n h i
සිටුවරයා	s i ʈ u w ə r a y aː
අශ්වාරෝහක	a ʃ w aː r oː h ə k ə
පෙලෝටා	p e l oː ʈ aː
බාස්කට්	b aː s k ə ʈ
කියන්නාහු	k i y a n n aː h u
අනාගතභය	a n aː g a t a b a y ə
ප්‍රමාණයකින්	p r a m aː n ə y ə k i n
කරන්නෙම්	k ə r a n n e m
කවරාකාරයකින්	k a w ə r aː k aː r ə y ə k i n
මිදවිය	m i d ə w i y ə
රත්නත්‍රයට	r a t n a t r ə y ə ʈ ə
ඉල්ලන්නා	i lː a n n aː
චණ්ඩීන්	c a n ɖ iː n
දක්වාද	d a k w aː d ə
ප්‍රභාවයට	p r a b aː w ə y ə ʈ ə
ප්‍රසිද්ධියේම	p r a s i d d i y eː m ə
ලෙලවන	l e l ə w ə n ə
කෙළියෙහි	k e l i y e h i
දිනීමෙන්	d i n iː m e n
යෙදීමෙහි	y e d iː m e h i
ධනධාන්ය	d a n ə d aː n y ə
පුත්‍රදාරාදීන්	p u t r a d aː r aː d iː n
සාමිෂ	s aː m i ʃ ə
ආයුප්‍රමාණ	aː y u p r ə m aː n ə
දෙවියනට	d e w i y ə n ə ʈ ə
උඩැක්කි	u ɖ æ k k i
එකැස්බෙර	e k æ s b e r ə
ගැටබෙර	g æ ʈ ə b e r ə
තම්මැට්ටම්	t a m m æ ʈ ʈ a m
දවුල්	d a w u l
පනාබෙර	p a n aː b e r ə
මඟුල්බෙර	m a ᵑg u l b e r ə
වාද්‍ය	w aː d y ə
පස්දෙනකුට	p a s d e n ə k u ʈ ə
උපාදානස්කන්ධය	u p aː d aː n a s k a n d ə y ə
අවස්ථාවක්ම	a w a s t aː w a k m ə
ලාංකිකයෙකුට	l aː ŋ k i k ə y e k u ʈ ə
වළක්නාහ	w a l a k n aː h ə
ව්‍යවහාරයක්	w y a w a h aː r ə y a k
සගලොවට	s a g ə l o w ə ʈ ə
බ්ලුස්ටාර්	b l u s ʈ aː r
ලාභියා	l aː b i y aː
ෆර්සීන්	f ə r s iː n
ධුතාංග	d u t aː ŋ g ə
ඇල්කලොපිඩයකිනි	æ l k a l o p i ɖ ə y ə k i n i
චෛතසිකයන්ගේ	c a i t ə s i k ə y a n g eː
ප්‍රබලම	p r ə b ə l ə m ə
තොටේදී	t o ʈ eː d iː
අයිරිෂ්	a y i r i ʃ
පවුලකය	p a w u l ə k ə y ə
අපක්ෂපාතීත්වය	a p a k ʃ ə p aː t iː t w ə y ə
අභ්‍යන්තරික	a b y a n t ə r i k ə
උද්වේගයන්	u d w eː g ə y a n
රසාලිප්ත	r a s aː l i p t ə
හැඟීම්ද	h æ ᵑg iː m d ə
උපාධිධාරියකු	u p aː d i d aː r i y ə k u
බැඳීමටය	b æ ⁿd iː m ə ʈ ə y ə
කොට්ටය	k o ʈ ʈ ə y ə
යහනෙක්	y a h a n e k
අනෙකකුට	a n e k ə k u ʈ ə
ඉවසන්නා	i w a s a n n aː
මාත්සර්ය්‍යය	m aː t s a r yː ə y ə
සම්පත්තියක්	s a m p a t t i y a k
ඉවසන්නා	i w a s a n n aː
අලව්ව	a l a w w ə
ගිරිඋල්ල	g i r i u l l ə
යතුරුපැදිකරුගේ	y a t u r u p æ d i k a r u g eː
අනගාරිය	a n ə g aː r i y ə
ඇබෙල්	æ b e l
ගොඕර්ඩ්	g o oː r ɖ
පිටුදක්නා	p i ʈ u d a k n aː
යෙනුකිඩ්සේය	y e n u k i ɖ s eː y ə
සොනිකිඩ්සේ	s o n i k i ɖ s eː
ගම්වැසියා	g a m w æ s i y aː
බෝසතාණන්ට	b oː s a t aː n a n ʈ ə
කෝන්ගස්වැවේ	k oː n g a s w æ w eː
මීගස්වැවේ	m iː g a s w æ w eː
මේධංකර	m eː d a ŋ k ə r ə
වලස්වැවේ	w a l a s w æ w eː
වේරවල	w eː r a w ə l ə
හිරිපිටියේ	h i r i p i ʈ i y eː
ක්‍රියාවෙහි	k r i y aː w e h i
පංතියක	p a ŋ t i y ə k ə
පැමිණෙනතුරු	p æ m i n e n ə t u r u
හුදෙකලාවේ	h u d e k ə l aː w eː
විශ්වසනීයත්වය	w i ʃ w a s ə n iː y a t w ə y ə
රසවිඳිනවා	r a s ə w i ⁿd i n ə w aː
බුකර්	b u k ə r
ලේඛිකාවන්	l eː k i k aː w a n
කොන්ත්‍රාත්කාර	k o n t r aː t k aː r ə
ආභාසයත්	aː b aː s ə y a t
කර්මසමාරම්භයෙන්	k a r m ə s a m aː r a m b ə y e n
සිටුනාසුලු	s i ʈ u n aː s u l u
කටානේ	k a ʈ aː n eː
නගරාධිපතිනිය	n a g a r aː d i p ə t i n i y ə
නායිකාවක්	n aː y i k aː w a k
ප්‍රදේශයට	p r a d eː ʃ ə y ə ʈ ə
යැමේ	y æ m eː
ලේකම්ද	l eː k a m d ə
විරුදාවලි	w i r u d aː w ə l i
සභිකාවක්ද	s a b i k aː w a k d ə
සීදූව	s iː d uː w ə
අවිනිශ්චිතයි	a w i n i ʃ c i t a y i
අනේපිඬුසිටුහුගේ	a n eː p i ⁿd u s i ʈ u h u g eː
දණහිසේ	d a n ə h i s eː
විසිවෙලා	w i s i w e l aː
දෙමසකට	d e m a s ə k ə ʈ ə
විදුලියක්	w i d u l i y a k
ගමගේට	g a m a g eː ʈ ə
වැලඳූහ	w æ l a ⁿd uː h ə
සතරනම	s a t a r a n a m ə
අබේපාල	a b eː p aː l ə
කථිකාචාර්යවරිය	k a t i k aː c aː r y ə w ə r i y ə
ඝන්ඨාරය	g a n ʈ aː r ə y ə
නැගිටින්නෙ	n æ g i ʈ i n n e
ජාවාහි	ɟ aː w aː h i
නටබුන්වලට	n a ʈ ə b u n w ə l ə ʈ ə
පිච්චු	p i c c u
පිරමීඩ්ස්	p i r ə m iː ɖ s
පේරුහි	p eː r u h i
බුදූර්	b u d uː r
බෝරෝ	b oː r oː
මන්චු	m a n c u
යෝග්‍යතම	y oː g y ə t ə m ə
පයිප්ප	p a y i p p ə
පයිප්පය	p a y i p p ə y ə
වළදමා	w a l ə d a m aː
හාඩ්වෙයාර්	h aː ɖ w e y aː r
හිල්කර	h i l k ə r ə
අපේක්‍ෂා	a p eː k ʃ aː
ආගම්වාදි	aː g a m w aː d i
පමුණුවමින්	p a m u n u w ə m i n
ශ්‍රීලනිපයේ	ʃ r iː l ə n i p ə y eː
ඉවසුවේ	i w a s u w eː
එකදී	e k ə d iː
දරුණුවට	d a r u n u w ə ʈ ə
නැග්ගේය	n æ g g eː y ə
වාක්සංස්කාර	w aː k s a ŋ s k aː r ə
ප්‍රභාකරන්ට	p r a b aː k ə r ə n ʈ ə
පැනයාමට	p æ n ə y aː m ə ʈ ə
විසිනැයි	w i s i n æ y i
වේළුපිල්ලේ	w eː l u p i l l eː
ගැනෝඩර්මා	g æ n oː ɖ a r m aː
බිම්මල්	b i m m a l
උපාධිධාරිනී	u p aː d i d aː r i n iː
ඕස්ට්‍රේලියාවේ	oː s ʈ r eː l i y aː w eː
පටික්කූලය	p a ʈ i k k uː l ə y ə
වික්ඛායිතක	w i k k aː y i t ə k ə
වික්ඛිත්තකය	w i k k i t t ə k ə y ə
විච්ඡිද්දකයෙහි	w i c c i d d ə k ə y e h i
වෙයි‍	w e y i
නිලක්ෂි	n i l a k ʃ i
හැලපිටිය	h æ l ə p i ʈ i y ə
ගිලුණේ	g i l u n eː
දේවානම්පිය	d eː w aː n a m p i y ə
ක්ලේශයන්ට	k l eː ʃ ə y a n ʈ ə
සන්තානයෙන්	s a n t aː n ə y e n
මරමිය	m a r ə m i y ə
ගෙපිළිවෙළින්	g e p i l i w e l i n
දොරැ	d o r æ
වහසල්	w a h a s a l
ජයඝෝෂා	ɟ a y ə g oː ʃ aː
සතුකර	s a t u k ə r ə
ඉයුජින්	i y u ɟ i n
නාඩගම්වලින්	n aː ɖ ə g a m w ə l i n
පෙන්වීය	p e n w iː y ə
බ්‍රම්පෝඩ්	b r a m p oː ɖ
බැලසන්ත	b æ l ə s a n t ə
ලියනෝරා	l i y ə n oː r aː
ප්‍රදේශයෙනුත්	p r a d eː ʃ ə y e n u t
සහායකයන්	s a h aː y ə k ə y a n
සෝමකුමාර	s oː m ə k u m aː r ə
ස්කන්ධාදීන්	s k a n d aː d iː n
බඹවිමනෙක්	b a ᵐb a w i m ə n e k
ධ්‍යානමනසින්	d y aː n ə m a n ə s i n
ස්වයම්ප්‍රභ	s w a y a m p r ə b ə
උලෙළවල්	u l e l ə w a l
නොමැත‍	n o m æ t ə
සොයන්නීය	s o y a n n iː y ə
ක්‍රීඩිකාවන්	k r iː ɖ i k aː w a n
තරගාවලිවලදී	t a r a g aː w ə l i w ə l ə d iː
දස්කමක්	d a s k a m a k
දිනාගැනීම	d i n aː g æ n iː m ə
නොවීමද	n o w iː m ə d ə
සක්‍රියව	s a k r i y ə w ə
කණ්ඩායමයි	k a n ɖ aː y ə m a y i
පැතිරූ	p æ t i r uː
යථාචිත්ත	y a t aː c i t t ə
අධ්‍යක්ෂවරයා	a d y a k ʃ ə w ə r ə y aː
අදියරක්	a d i y ə r a k
සවාරියේ	s a w aː r i y eː
දාසයෙක්	d aː s ə y e k
දාසියක්	d aː s i y a k
සතුටුව	s a t u ʈ u w ə
සිටාණෝ	s i ʈ aː n oː
අයිඑස්අයිඑස්	a y i e s a y i e s
කුම්භථූන	k u m b ə t uː n ə
ශෝභනක	ʃ oː b ə n ə k ə
සිනමාවෙහි	s i n ə m aː w e h i
කැටිකොට	k æ ʈ i k o ʈ ə
ගොඩනැගෙද්දී	g o ɖ ə n æ g e d d iː
ගොරහැඩි	g o r ə h æ ɖ i
තලාවක	t a l aː w ə k ə
නර්තනයත්	n a r t ə n ə y a t
පතයක්	p a t ə y a k
පරිවර්තනයන්	p a r i w a r t ə n ə y a n
පිඬෙන්	p i ⁿd e n
මාතාවට	m aː t aː w ə ʈ ə
මිනිසාටත්	m i n i s aː ʈ a t
මිනිසාද	m i n i s aː d ə
මූර්තියත්	m uː r t i y a t
සිතුවමත්	s i t u w ə m a t
සිතුවමද	s i t u w ə m ə d ə
සියල්ලමද	s i y a l l ə m ə d ə
දිනේෂා	d i n eː ʃ aː
ප්‍රේමරත්න	p r eː m ə r a t n ə
නොගොස්ම	n o g o s m ə
ප්‍රභූ	p r ə b uː
බලපවත්නා	b a l ə p a w a t n aː
මාදිලි	m aː d i l i
වකවානුවලට	w a k ə w aː n u w ə l ə ʈ ə
කන්නට්ටිය	k a n n a ʈ ʈ i y ə
ටැංකිවල	ʈ æ ŋ k i w ə l ə
චක්ෂුර්විඥානය	c a k ʃ u r w i ɲ aː n ə y ə
මනොවිඥානයත්	m a n o w i ɲ aː n ə y a t
සාස්‍රව	s aː s r ə w ə
ඝනකයත්	g a n ə k ə y a t
ට්‍රැක්	ʈ r æ k
ඩන්කන්	ɖ a n k ə n
පදක්කමත්	p a d a k k ə m a t
ප්‍රදර්ශනයේ	p r ə d a r ʃ ə n ə y eː
අවිද්‍යානිරොධයෙන්	a w i d y aː n i r o d ə y e n
සංස්කාරනිරොධ	s a ŋ s k aː r ə n i r o d ə
කා‍ර්යාල	k aː r y aː l ə
ප්‍රචාරණ	p r ə c aː r ə n ə
ශීලමාත්‍ර	ʃ iː l ə m aː t r ə
කැපකළ	k æ p ə k ə l ə
ටීකාව	ʈ iː k aː w ə
ථප්පකාසිනියේ	t a p p ə k aː s i n i y eː
දෙවොලක්	d e w o l a k
පඨමක	p a ʈ ə m ə k ə
මහාවංස	m a h aː w a ŋ s ə
මහෙජ	m a h e ɟ ə
රුවන්වැලිසෑයට	r u w a n w æ l i s æː y ə ʈ ə
වංස	w a ŋ s ə
ආටිෆිෂල්	aː ʈ i f i ʃ ə l
ප්ලාන්ට්	p l aː n ʈ
උපසම්පන්නයකු	u p a s a m p a n n ə y ə k u
උදෙසීම්	u d e s iː m
කඳපිළිවෙළ	k a ⁿd ə p i l i w e l ə
නාමගොත්‍රාදී	n aː m ə g o t r aː d iː
ඉඩ්‍රස්	i ɖ r ə s
ගමාල්	g a m aː l
ජාතිකවාදය	ɟ aː t i k ə w aː d ə y ə
තුර්කියේ	t u r k i y eː
නවසියහැට	n a w ə s i y ə h æ ʈ ə
නසාර්	n a s aː r
නිලධාරිහු	n i l ə d aː r i h u
නොසැලු	n o s æ l u
රාජාණ්ඩුවට	r aː ɟ aː n ɖ u w ə ʈ ə
වීරත්වයෙන්	w iː r a t w ə y e n
සැලකූයේ	s æ l ə k uː y eː
කොට්ඨාසයන්හි	k o ʈ ʈ aː s ə y a n h i
ධාතුවෙක්	d aː t u w e k
දුලාඡ්	d u l aː c
ශිවන්ති	ʃ i w a n t i
ශූරයන්	ʃ uː r ə y a n
ආර්ය්‍යධර්මයන්ට	aː r yː a d a r m ə y a n ʈ ə
ආර්ජන්ටීනියානු	aː r ɟ ə n ʈ iː n i y aː n u
ඇවිස්සීමෙනි	æ w i s s iː m e n i
ඔල්ටමිරානෝ	o l ʈ ə m i r aː n oː
පෝලෝ	p oː l oː
පිළිගන්වා	p i l i g a n w aː
වැළඳූහ	w æ l ə ⁿd uː h ə
සාමණේරයෝ	s aː m ə n eː r ə y oː
ඈයා	æː y aː
දියබල්ලා	d i y ə b a l l aː
මුගටියා	m u g ə ʈ i y aː
වලිකුකුළා	w a l i k u k u l aː
වැලිමුවා	w æ l i m u w aː
හබන්	h a b a n
හම්බාවා	h a m b aː w aː
හෝතඹුවා	h oː t a ᵐb u w aː
ආදිකර්මික	aː d i k a r m i k ə
කර්මස්ථානය	k a r m a s t aː n ə y ə
කුලදරුවා	k u l ə d a r u w aː
මිත්‍රයෙකු	m i t r ə y e k u
ජෙනීවාහී	ɟ e n iː w aː h iː
නොපැරදුනෙමු	n o p æ r ə d u n e m u
අසත්‍යයි	a s a t y a y i
ස්පන්දන	s p a n d ə n ə
අධිපතිව	a d i p ə t i w ə
අරුග්ගමුවේ	a r u g g ə m u w eː
තොටගමුව	t o ʈ ə g ə m u w ə
දහතුනක්	d a h a t u n a k
නිකේතනයක්	n i k eː t ə n ə y a k
නිවාසග්‍රහණයෙන්	n i w aː s ə g r a h a n ə y e n
පැරකුම්බාවන්	p æ r a k u m b aː w a n
පිරිවෙණහි	p i r i w e n ə h i
මහාකවි	m a h aː k a w i
යතීන්ද්‍රයාණන්ගේ	y a t iː n d r ə y aː n a n g eː
රටකළ	r a ʈ ə k ə l ə
වැඩවිසූ	w æ ɖ ə w i s uː
සවැනි	s a w æ n i
සාහිත	s aː h i t ə
සේසත	s eː s ə t ə
අධිශීලශික්‍ෂාමාත්‍ර	a d i ʃ iː l ə ʃ i k ʃ aː m aː t r ə
බඹසරට	b a ᵐb ə s a r ə ʈ ə
ව්‍යඤ්ජ	w y a ɲ ɟ ə
නාගතෙමේ	n aː g ə t e m eː
අධිරාජ්‍යය	a d i r aː ɟ y ə y ə
අර්මේනියාවේ	a r m eː n i y aː w eː
ඉන්දුනිම්නය	i n d u n i m n ə y ə
උර්මියා	u r m i y aː
ජනවර්ගයන්	ɟ a n ə w a r g ə y a n
පසුකොට	p a s u k o ʈ ə
පිනිසියානු	p i n i s i y aː n u
මිතැන්නි	m i t æ n n i
